seed,beta,buffer_frac,ruined,ruin_epoch,basket_pnl,otc_pnl,net_pnl,min_basket,max_basket
176,1.0,0.05,0.0,0,9.880803792288575,-9.880803792288573,1.7763568394002505e-15,3.5,4.488080379228857
177,1.0,0.05,1.0,2,-4.75,7.579579682138338,2.8295796821383377,2.7307117374362644,3.5
178,1.0,0.05,1.0,4,-4.75,3.6154774690865032,-1.1345225309134968,3.0060127444587597,3.742559757428248
179,1.0,0.05,1.0,2,-4.75,-1.5866711917039877,-6.336671191703988,2.8043414387476817,3.6586671191703988
180,1.0,0.05,0.0,0,4.66707114535539,-4.667071145355388,1.7763568394002505e-15,3.5,3.966707114535539
181,1.0,0.05,1.0,1,-4.75,5.761545428894972,1.011545428894972,2.923845457110503,3.5
182,1.0,0.05,0.0,0,9.138737912190543,-9.138737912190544,-1.7763568394002505e-15,3.5,4.712927925926512
183,1.0,0.05,1.0,5,-4.75,10.154244610512535,5.404244610512535,2.4845755389487465,3.5
184,1.0,0.05,0.0,0,-0.7824661552870502,0.7824661552870493,-8.881784197001252e-16,3.421753384471295,4.020330216696245
185,1.0,0.05,0.0,0,2.7533101953838326,-2.7533101953838335,-8.881784197001252e-16,3.211906001909097,3.7753310195383833
186,1.0,0.05,0.0,0,7.1203571661577385,-7.12035716615774,-1.7763568394002505e-15,3.458894411128119,4.212035716615774
187,1.0,0.05,0.0,0,3.1155181216484173,-3.1155181216484173,0.0,3.2759269235074466,3.8115518121648417
188,1.0,0.05,0.0,0,7.7256202040839455,-7.725620204083947,-1.7763568394002505e-15,3.4795436568169817,4.947421264260086
189,1.0,0.05,0.0,0,3.253302538718451,-3.25330253871845,8.881784197001252e-16,3.199579247970716,4.419880139096179
190,1.0,0.05,0.0,0,7.818557567685698,-7.818557567685698,0.0,3.380237840273518,4.28185575676857
191,1.0,0.05,0.0,0,0.3407101502235683,-0.34071015022356654,1.7763568394002505e-15,3.3767158444701875,3.9162365644407973
192,1.0,0.05,0.0,0,5.063775551304683,-5.063775551304683,0.0,3.1321449162688557,4.006377555130468
193,1.0,0.05,1.0,3,-4.75,4.6471758651459005,-0.10282413485409947,2.8550549603850137,3.662009322294036
194,1.0,0.05,0.0,0,1.8572433735495189,-1.8572433735495197,-8.881784197001252e-16,3.2031276227530774,3.7944772711640455
195,1.0,0.05,0.0,0,2.52083584967181,-2.520835849671812,-1.7763568394002505e-15,3.5,4.707638057888066
196,1.0,0.05,0.0,0,3.030281708952762,-3.03028170895276,1.7763568394002505e-15,3.5,3.987339819398622
197,1.0,0.05,0.0,0,11.196282571070544,-11.196282571070544,0.0,3.1925098749431324,5.442109585177461
198,1.0,0.05,1.0,2,-4.75,6.449868614028196,1.6998686140281958,2.417381291939854,3.5
199,1.0,0.05,1.0,3,-4.75,-0.2976821309501654,-5.047682130950165,3.0207559333481373,3.5864132807283773
0,1.0,0.1,1.0,2,-6.5,17.488969937861633,10.988969937861633,1.7511030062138369,3.5
1,1.0,0.1,0.0,0,0.9288972540899003,-0.9288972540899021,-1.7763568394002505e-15,3.5,3.8752252448061375
2,1.0,0.1,0.0,0,5.678397703422398,-5.6783977034224,-1.7763568394002505e-15,3.092526995009131,4.06783977034224
3,1.0,0.1,0.0,0,12.342162543424344,-12.342162543424342,1.7763568394002505e-15,3.5,5.057134800038236
4,1.0,0.1,0.0,0,12.250941194806394,-12.25094119480639,3.552713678800501e-15,3.5,4.725094119480639
5,1.0,0.1,0.0,0,-3.8893498247756924,3.889349824775694,1.7763568394002505e-15,3.1110650175224306,3.9536354672598906
6,1.0,0.1,0.0,0,-0.6002857794768204,0.6002857794768213,8.881784197001252e-16,3.1479755085654326,3.6435759571492836
7,1.0,0.1,1.0,2,-6.5,1.7609786926535298,-4.73902130734647,2.697455353460853,3.5
8,1.0,0.1,0.0,0,3.9695161033094593,-3.969516103309463,-3.552713678800501e-15,3.0867188676738704,3.8969516103309463
