seed,liquidity,spot,hedged_qty,unhedged_rev,hedged_rev
86,2.0,4.677496208089153,100.0,467.74962080891527,346.8182344504905
87,2.0,2.4418671412486086,100.0,244.18671412486086,346.81823445049895
88,2.0,2.1017345258429305,100.0,210.17345258429305,346.8182344504912
89,2.0,2.9825032613817397,100.0,298.250326138174,346.81823445048445
90,2.0,4.23237359180038,100.0,423.237359180038,346.8182344504996
91,2.0,3.642837709673359,100.0,364.2837709673359,346.8182344504922
92,2.0,3.1354194735378487,100.0,313.54194735378485,346.81823445049747
93,2.0,2.6986805503124818,100.0,269.86805503124816,346.8182344504956
94,2.0,3.8296099929682366,100.0,382.9609992968237,346.818234450495
95,2.0,3.2961758675448705,100.0,329.61758675448704,346.8182344504957
96,2.0,2.837044860895655,100.0,283.7044860895655,346.8182344504855
97,2.0,2.4418671412486086,100.0,244.18671412486086,346.81823445049895
98,2.0,3.465174418122088,100.0,346.5174418122088,346.81823445047945
99,2.0,2.9825032613817397,100.0,298.250326138174,346.81823445048445
0,4.0,2.5670643467850125,100.0,256.70643467850124,351.1354738834746
1,4.0,3.642837709673359,100.0,364.2837709673359,351.13547388348076
2,4.0,3.1354194735378487,100.0,313.54194735378485,351.13547388348604
3,4.0,4.449372026124917,100.0,444.93720261249166,351.1354738834931
