seed,beta,r_i,dealer_pnl,spot_I,spot_S,n_contracts,n_settled
95,0.63,0.39690000000000003,1.0778628154657781,3.2961758675448705,3.299953340178638,2,2
96,0.63,0.39690000000000003,7.637109696632251,2.837044860895655,2.3547761178774387,2,2
97,0.63,0.39690000000000003,4.7738947903271765,2.4418671412486086,2.392135645129331,2,2
98,0.63,0.39690000000000003,-3.8683398788562045,3.465174418122088,3.9010426964802036,2,2
99,0.63,0.39690000000000003,4.40413578809239,2.9825032613817397,2.7697123010356366,2,2
0,0.8,0.6400000000000001,-8.269232739461586,2.5670643467850125,3.6001146568738824,2,2
1,0.8,0.6400000000000001,-3.494054786162451,3.642837709673359,3.983215551849772,2,2
2,0.8,0.6400000000000001,-0.3776996078668162,3.1354194735378487,3.2656454451231136,2,2
3,0.8,0.6400000000000001,-3.596140900044702,4.449372026124917,4.638651616394695,2,2
4,0.8,0.6400000000000001,0.45235938986297697,2.322775875477118,2.532524666889647,2,2
5,0.8,0.6400000000000001,4.613249897607602,5.4344752647896755,4.605795127572053,2,2
6,0.8,0.6400000000000001,6.1178292407421395,4.677496208089153,3.8497539479035026,2,2
7,0.8,0.6400000000000001,4.345263599883765,6.637683077567331,5.595160007565002,2,2
8,0.8,0.6400000000000001,1.4114789293380454,3.465174418122088,3.350531547070153,2,2
9,0.8,0.6400000000000001,-1.5803112683352083,2.9825032613817397,3.2635736414416123,2,2
10,0.8,0.6400000000000001,8.948922684998251,4.23237359180038,3.210546510434887,2,2
11,0.8,0.6400000000000001,3.62697908654809,3.642837709673359,3.2711121645826133,2,2
12,0.8,0.6400000000000001,0.554673217004165,3.1354194735378482,3.1724081626319522,2,2
13,0.8,0.6400000000000001,-11.115650967578404,2.6986805503124818,3.990049442500025,2,2
14,0.8,0.6400000000000001,4.363910814747214,3.8296099929682366,3.34683681839825,2,2
