seed,beta,reluctance,K,r_i,volume_share,willing_clear_frac,residual_risk,sum_Dk2,clearing_spread_pct,dealer_pnl,spot_I,spot_S0
35,0.2,0.0,1,0.04000000000000001,1.0,1.0,0.22069388206591312,0.05161960834788334,0.03594496311482725,-0.07881029601178005,5.4344752647896755,3.5109903163106133
36,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.946404670170902,9.200658373488963,5.995820748455549,6.048630992164973,2.837044860895655,4.008653025106755
37,0.2,0.0,1,0.04000000000000001,1.0,1.0,1.6832084891356476,3.0026861621972487,1.8575196245293804,3.7891733766735634,4.0259582960002955,2.3141555959861577
38,0.2,0.0,1,0.04000000000000001,0.9599663108700831,0.9599663108700831,2.873723771057122,8.752339546719833,6.029504635076046,5.03312425696627,2.1017345258429305,2.9929463229326934
39,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.3685618256876677,5.945707877660381,3.600860619123722,-3.094093617292565,2.9825032613817397,5.893943074417379
40,0.2,0.0,1,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.5670643467850125,3.07526982855442
41,0.2,0.0,1,0.04000000000000001,0.9639769864905232,0.9639769864905232,3.2069743345278927,10.899964549605818,8.138345121673327,3.2247687711633377,6.006024017647005,4.660181611643047
42,0.2,0.0,1,0.04000000000000001,0.8591208632693837,0.8591208632693837,2.83589175316529,8.523410717146861,6.034389292106758,2.914105241538753,3.1354194735378487,3.1260551995898065
43,0.2,0.0,1,0.04000000000000001,1.0,1.0,0.6371997463110983,0.43031383111107263,0.282922531229359,0.5882950252811123,4.449372026124917,4.3553712090911505
44,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.5807498944504284,7.058719974780226,4.159426166713036,0.7731304380477098,3.8296099929682357,2.681653004157229
45,0.2,0.0,1,0.04000000000000001,0.968179289778924,0.968179289778924,2.8191087696219213,8.422825088382467,5.827875934205482,0.6078723549788361,5.4344752647896755,5.124796503449245
46,0.2,0.0,1,0.04000000000000001,1.0,1.0,0.6981744330770417,0.5166090370310845,0.31342149703168043,0.13900962087920044,2.837044860895655,3.591256790479126
47,0.2,0.0,1,0.04000000000000001,1.0,1.0,0.13611652835182977,0.019636127560666877,0.012575292645518217,0.1952465129546376,4.025958296000295,2.356126357651592
48,0.2,0.0,1,0.04000000000000001,1.0,1.0,3.2542485658302396,11.223687370657847,6.981358175946136,9.939310281358576,3.465174418122088,2.184926520536128
49,0.2,0.0,1,0.04000000000000001,0.9301397278318416,0.9301397278318416,3.508119125218994,13.043158789634164,8.591574650254469,0.38883427144819205,4.917316566972579,2.2654535970437415
50,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.3693115263636693,5.94947236175724,3.657720175158178,0.698840531141411,2.5670643467850125,4.255797546847173
51,0.2,0.0,1,0.04000000000000001,0.08273166578253859,0.08273166578253859,1.726360245653159,3.158617011917754,23.305556804229692,-1.047581284435622,3.642837709673359,5.0346305846645745
52,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.2201350346607485,5.22387645590498,3.3522388879638974,1.6401467507265814,3.1354194735378487,3.1445678919834554
53,0.2,0.0,1,0.04000000000000001,0.8864868847656037,0.8864868847656037,3.1657022013806952,10.621215812798223,8.063788634137602,4.701976291091377,4.449372026124917,3.862804497510987
54,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.4605560551835675,6.416536124577118,4.219665241226057,-1.6066072267670317,3.8296099929682366,5.473380407099326
55,0.2,0.0,1,0.04000000000000001,0.41146098866780084,0.41146098866780084,2.4053164097081985,6.13166677670022,9.829940034970786,1.2965183771217854,3.2961758675448705,4.182028539918623
56,0.2,0.0,1,0.04000000000000001,0.8623061104964085,0.8623061104964085,3.6260904988419917,13.93514187551016,9.281146008676405,6.647228499362197,4.677496208089153,3.833204197561131
57,0.2,0.0,1,0.04000000000000001,1.0,1.0,1.9119521842181946,3.874254718408358,2.259733632711722,-0.45400264533508405,4.025958296000295,2.5240927590332154
58,0.2,0.0,1,0.04000000000000001,0.5744830105617008,0.5744830105617008,3.0043072629350496,9.565833387858007,10.638982701544094,3.231527908866508,3.465174418122088,3.1568854906823507
